City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Belle Fourche,US,2021-06-19 17:43:21,44.6714,-103.8522,89.35,27,19,11.16
141,Kirakira,SB,2021-06-19 17:43:21,-10.4544,161.9205,78.94,84,93,6.91
142,Jega,NG,2021-06-19 17:43:22,12.2175,4.3792,96.53,33,99,1.52
143,Kouroussa,GN,2021-06-19 17:43:22,10.65,-9.8833,82.51,65,68,6.46
144,Ukiah,US,2021-06-19 17:43:22,39.1502,-123.2078,98.02,34,1,3.44
145,Naples,IT,2021-06-19 17:43:22,40.8333,14.25,81.52,57,0,3.0
146,Los Llanos De Aridane,ES,2021-06-19 17:43:23,28.6585,-17.9182,69.55,65,20,13.8
147,Zyryanka,RU,2021-06-19 17:43:23,65.75,150.85,56.84,49,100,6.11
148,Salalah,OM,2021-06-19 17:43:23,17.0151,54.0924,80.69,89,75,10.36
149,Atuona,PF,2021-06-19 17:43:24,-9.8,-139.0333,80.15,72,19,20.11
150,Barrow,US,2021-06-19 17:41:07,71.2906,-156.7887,42.82,75,1,4.61
151,Volga,RU,2021-06-19 17:43:24,57.9516,38.3879,71.01,81,9,6.53
152,Truro,GB,2021-06-19 17:39:57,50.2653,-5.0544,60.01,88,75,14.97
153,Itoman,JP,2021-06-19 17:43:25,26.1247,127.6694,80.98,100,75,13.8
154,Bukama,CD,2021-06-19 17:43:25,-9.2,25.85,73.33,38,22,3.44
155,Gat,IL,2021-06-19 17:41:01,31.61,34.7642,77.81,100,0,6.98
156,Richards Bay,ZA,2021-06-19 17:43:25,-28.783,32.0377,63.43,73,11,8.1
157,Manggar,ID,2021-06-19 17:43:26,-2.8833,108.2667,79.41,81,100,4.88
158,Frolovo,RU,2021-06-19 17:43:26,49.7713,43.6622,65.05,65,0,10.2
159,Sitka,US,2021-06-19 17:43:26,57.0531,-135.33,57.09,72,20,8.05
160,Tabuk,PH,2021-06-19 17:43:27,17.4189,121.4443,75.83,77,77,2.66
161,Sarankhola,BD,2021-06-19 17:43:27,22.3082,89.7897,77.0,93,100,4.05
162,Sulangan,PH,2021-06-19 17:43:27,11.1373,123.7228,83.34,75,100,4.79
163,Qasigiannguit,GL,2021-06-19 17:43:28,68.8193,-51.1922,44.85,68,91,3.74
164,Tasiilaq,GL,2021-06-19 17:43:28,65.6145,-37.6368,35.76,68,88,6.58
165,Qaqortoq,GL,2021-06-19 17:43:28,60.7167,-46.0333,50.5,83,100,3.78
166,Laguna,US,2021-06-19 17:43:29,38.421,-121.4238,105.66,31,1,1.01
167,Westport,US,2021-06-19 17:38:40,41.1415,-73.3579,91.74,67,69,1.01
168,Namatanai,PG,2021-06-19 17:43:29,-3.6667,152.4333,77.31,84,28,5.59
169,Ahipara,NZ,2021-06-19 17:43:29,-35.1667,173.1667,58.82,90,24,15.75
170,Touros,BR,2021-06-19 17:43:30,-5.1989,-35.4608,79.7,68,29,15.52
171,Sungai Udang,MY,2021-06-19 17:43:30,2.269,102.1427,78.67,88,20,3.44
172,Sao Filipe,CV,2021-06-19 17:43:30,14.8961,-24.4956,74.19,77,2,14.65
173,Victor Harbor,AU,2021-06-19 17:43:31,-35.5667,138.6167,53.19,95,30,4.27
174,Bonavista,CA,2021-06-19 17:43:31,48.6499,-53.1147,78.8,83,100,13.0
175,Castro,BR,2021-06-19 17:43:32,-24.7911,-50.0119,55.17,96,100,2.91
176,Abakaliki,NG,2021-06-19 17:43:32,6.3163,8.1169,78.39,87,99,7.74
177,Jijiga,ET,2021-06-19 17:43:32,9.35,42.8,62.31,88,99,17.47
178,Krasnoselkup,RU,2021-06-19 17:43:32,65.7,82.4667,39.18,94,100,10.71
179,Georgetown,MY,2021-06-19 17:39:02,5.4112,100.3354,78.73,92,40,1.99
180,Izhmorskiy,RU,2021-06-19 17:43:33,56.194,86.6414,55.63,98,100,8.99
181,Srednekolymsk,RU,2021-06-19 17:43:33,67.45,153.6833,51.73,49,100,5.75
182,Bahia Blanca,AR,2021-06-19 17:43:34,-38.7196,-62.2724,44.64,81,100,9.17
183,Saint-Joseph,RE,2021-06-19 17:43:34,-21.3667,55.6167,67.21,73,14,10.16
184,Airai,TL,2021-06-19 17:43:34,-8.9266,125.4092,57.15,94,60,3.44
185,Kajansi,UG,2021-06-19 17:43:34,0.2081,32.5222,70.48,83,100,2.77
186,Lazaro Cardenas,MX,2021-06-19 17:39:21,17.9583,-102.2,77.92,88,100,16.82
187,Raudeberg,NO,2021-06-19 17:43:35,61.9875,5.1352,59.67,80,42,23.09
188,Presidencia Roque Saenz Pena,AR,2021-06-19 17:43:35,-26.7852,-60.4388,63.43,46,24,5.93
189,Santa Isabel Do Rio Negro,BR,2021-06-19 17:43:36,-0.4139,-65.0192,83.88,75,57,3.0
190,Svetlyy,RU,2021-06-19 17:43:36,54.675,20.1347,82.45,75,3,5.3
191,Qena,EG,2021-06-19 17:43:36,26.1615,32.7183,95.11,7,0,10.4
192,Road Town,VG,2021-06-19 17:39:44,18.4167,-64.6167,87.89,70,40,14.97
193,Nanchong,CN,2021-06-19 17:43:37,30.7951,106.0847,66.42,88,100,4.81
194,Deyang,CN,2021-06-19 17:43:37,31.1302,104.382,67.82,94,76,2.33
195,Mangrol,IN,2021-06-19 17:43:38,21.1167,70.1167,84.67,74,58,16.17
196,Annau,TM,2021-06-19 17:43:38,37.8876,58.516,90.9,16,40,4.61
197,Bakchar,RU,2021-06-19 17:43:38,57.0186,82.0711,43.48,74,95,7.9
198,Tuatapere,NZ,2021-06-19 17:43:39,-46.1333,167.6833,33.82,91,4,3.85
199,Nome,US,2021-06-19 17:43:39,64.5011,-165.4064,62.17,66,20,4.61
200,Portland,US,2021-06-19 17:39:30,45.5234,-122.6762,71.94,65,75,1.99
201,East London,ZA,2021-06-19 17:43:39,-33.0153,27.9116,61.74,77,0,4.61
202,Haines Junction,CA,2021-06-19 17:43:40,60.7522,-137.5108,57.15,51,2,1.14
203,Kalaleh,IR,2021-06-19 17:43:40,37.3807,55.4916,87.4,51,0,13.8
204,Saint Anthony,US,2021-06-19 17:43:41,45.0205,-93.218,77.94,45,1,1.99
205,New Norfolk,AU,2021-06-19 17:43:41,-42.7826,147.0587,46.71,87,85,1.99
206,Olinda,BR,2021-06-19 17:43:41,-8.0089,-34.8553,73.13,88,75,4.61
207,Gallipoli,TR,2021-06-19 17:43:42,40.4103,26.6708,76.86,77,53,4.18
208,Kidal,ML,2021-06-19 17:43:42,18.4411,1.4078,104.25,13,31,3.31
209,Marathon,US,2021-06-19 17:43:42,44.9,-89.7668,75.88,48,20,1.01
210,Fukue,JP,2021-06-19 17:43:42,32.6881,128.8419,71.22,77,56,7.99
211,Berlevag,NO,2021-06-19 17:43:43,70.8578,29.0864,44.62,88,100,10.56
212,Qaanaaq,GL,2021-06-19 17:43:43,77.484,-69.3632,40.44,51,31,1.72
213,Omsukchan,RU,2021-06-19 17:43:43,62.5333,155.8,42.8,82,11,6.04
214,Djambala,CG,2021-06-19 17:43:44,-2.5447,14.7533,78.17,43,49,0.49
215,Beyneu,KZ,2021-06-19 17:43:44,45.3167,55.2,82.17,18,0,12.3
216,Sept-Iles,CA,2021-06-19 17:43:44,50.2001,-66.3821,53.26,97,90,3.0
217,Strezhevoy,RU,2021-06-19 17:43:45,60.7333,77.5889,44.58,96,98,4.81
