City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
267,Belmonte,BR,75.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
268,Chaiya,TH,77.36,overcast clouds,9.3862,99.1986,JP Place
269,Lasa,IT,71.51,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
273,Shenjiamen,CN,71.19,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
278,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
281,Lorengau,PG,79.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
283,Chimore,BO,73.51,clear sky,-16.9833,-65.1333,Bichito
284,Nantucket,US,81.97,clear sky,41.2835,-70.0995,Jared Coffin House
285,Halifax,CA,80.53,few clouds,44.6453,-63.5724,Hotel Halifax
288,Vaitape,PF,80.01,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
290,Kirakira,SB,79.0,overcast clouds,-10.4544,161.9205,SanBiz Lodge
291,Labuhan,ID,76.82,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
292,Poso,ID,75.07,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
295,Wagar,SD,89.29,overcast clouds,16.1525,36.2032,
297,Biak,ID,75.2,broken clouds,-0.9131,122.8766,Penginapan Kim
301,Tabas,IR,83.35,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
305,Alofi,NU,74.57,broken clouds,-19.0595,-169.9187,Taloa Heights
309,Asyut,EG,86.22,clear sky,27.181,31.1837,Florence Hotel Assiut
310,Tarakan,ID,78.33,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
311,Astara,AZ,70.34,clear sky,38.5,48.6667,
312,Minna,NG,76.12,light rain,9.6139,6.5569,Royal Park hotel & suites
314,Ishigaki,JP,84.25,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
315,Tukrah,LY,74.12,clear sky,32.5341,20.5791,Lokta restaurant
316,Freital,DE,75.78,clear sky,51.0017,13.6488,Hotel Heidenschanze Dresden
317,Yenagoa,NG,74.77,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
319,Fayaoue,NC,73.6,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
320,Ban Phai,TH,82.98,scattered clouds,16.06,102.731,Inpawa Hotel
321,Jalu,LY,80.6,clear sky,29.0331,21.5482,صاحبة الفخامة
323,Barquisimeto,VE,80.6,overcast clouds,10.0739,-69.3228,Hotel Príncipe
324,Tonj,SS,70.32,overcast clouds,7.2737,28.6822,
326,Zhigansk,RU,71.74,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
327,Punto Fijo,VE,83.73,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
331,Sabha,LY,88.45,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
333,Smithers,CA,78.06,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
334,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
335,Roma,US,84.94,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
