City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
118,Ribeira Grande,PT,2021-06-20 21:01:37,38.5167,-28.7,66.49,72,4,15.95,clear sky
119,Tautira,PF,2021-06-20 21:01:37,-17.7333,-149.15,78.82,78,35,10.45,scattered clouds
120,Khadyzhensk,RU,2021-06-20 21:01:38,44.4256,39.5319,69.35,94,0,1.52,clear sky
121,Villamontes,BO,2021-06-20 21:01:38,-21.25,-63.5,64.0,51,100,3.53,overcast clouds
122,Talnakh,RU,2021-06-20 21:01:38,69.4865,88.3972,44.73,98,100,9.08,moderate rain
123,Botou,CN,2021-06-20 21:01:39,38.0667,116.5667,77.11,32,20,8.25,few clouds
124,Spirit River,CA,2021-06-20 21:01:39,55.7833,-118.8361,72.75,42,2,3.24,clear sky
125,Upernavik,GL,2021-06-20 21:01:39,72.7868,-56.1549,36.18,73,26,9.51,scattered clouds
126,Huarmey,PE,2021-06-20 21:01:40,-10.0681,-78.1522,68.58,79,100,11.27,overcast clouds
127,Kahului,US,2021-06-20 21:01:40,20.8947,-156.47,82.98,78,69,10.0,broken clouds
128,Novoaleksandrovsk,RU,2021-06-20 21:01:40,45.4948,41.2207,72.21,61,31,14.25,scattered clouds
129,Perth,AU,2021-06-20 20:58:45,-31.9333,115.8333,48.85,94,75,12.66,light rain
130,Yichang,CN,2021-06-20 21:01:41,30.7144,111.2847,69.37,62,96,3.22,light rain
131,Zhob,PK,2021-06-20 21:01:41,31.3411,69.4481,77.18,38,51,3.0,broken clouds
132,Ocala,US,2021-06-20 21:00:15,29.1872,-82.1401,90.0,72,40,1.01,scattered clouds
133,Mahebourg,MU,2021-06-20 21:01:42,-20.4081,57.7,67.24,58,74,19.08,broken clouds
134,Grand-Santi,GF,2021-06-20 21:01:42,4.25,-54.3833,78.76,81,100,2.66,moderate rain
135,Souillac,MU,2021-06-20 21:01:42,-20.5167,57.5167,67.35,58,92,18.23,overcast clouds
136,Zhanakorgan,KZ,2021-06-20 21:01:43,43.9098,67.2495,68.14,20,0,5.28,clear sky
137,Kieta,PG,2021-06-20 21:01:43,-6.2167,155.6333,79.79,82,53,3.33,broken clouds
138,Mitsamiouli,KM,2021-06-20 21:01:43,-11.3847,43.2844,77.38,71,60,13.42,broken clouds
139,Katsuura,JP,2021-06-20 21:01:44,35.1333,140.3,72.19,81,81,7.61,broken clouds
140,Batsfjord,NO,2021-06-20 21:01:44,70.6345,29.7185,48.42,81,20,3.44,few clouds
141,Kumylzhenskaya,RU,2021-06-20 21:01:44,49.8809,42.5898,68.79,55,100,10.83,overcast clouds
142,Portland,US,2021-06-20 20:57:38,45.5234,-122.6762,92.5,45,0,1.99,clear sky
143,Iracoubo,GF,2021-06-20 21:01:45,5.4802,-53.2011,80.67,76,46,6.06,scattered clouds
144,Thompson,CA,2021-06-20 21:00:12,55.7435,-97.8558,47.3,48,100,13.2,overcast clouds
145,Sambava,MG,2021-06-20 21:01:46,-14.2667,50.1667,71.33,83,38,16.53,light rain
146,Khatanga,RU,2021-06-20 21:01:46,71.9667,102.5,66.49,61,94,10.4,overcast clouds
147,Northam,GB,2021-06-20 21:01:46,51.0333,-4.2167,60.66,89,100,14.0,overcast clouds
148,Big Bend,SZ,2021-06-20 21:01:47,-26.8167,31.9333,58.82,95,0,2.37,clear sky
